Model,RMSE_Position_cm,RMSE_Curvature,Time_Seconds
ExtraTreesRegressor,0.4168470409222146,0.0015054305070208945,0.5
XGBRegressor,0.5113939194833063,0.0016419916421511486,0.19
RandomForestRegressor,0.507559962864453,0.0017627804278327176,3.25
BaggingRegressor,0.538841724732475,0.0017946289060371341,0.38
HistGradientBoostingRegressor,0.5534396958370906,0.0018377526592623884,0.34
LGBMRegressor,0.5624032836809556,0.001943007374892809,0.11
KNeighborsRegressor,0.6527982479760855,0.002047069799798357,0.0
DecisionTreeRegressor,0.8803025698901805,0.002365833618769857,0.05
GradientBoostingRegressor,0.7564597382579281,0.0028661419720598237,1.97
ExtraTreeRegressor,0.644278153923165,0.002924588486638242,0.01
NuSVR,1.0886285607542023,0.003111137628833499,2.28
AdaBoostRegressor,1.137518001602987,0.004495242330904837,0.47
LassoLarsCV,1.460648339820583,0.007243527540913297,0.02
LarsCV,1.460648339820583,0.007243527540913297,0.02
LassoCV,1.4607107905741754,0.0072437253018129465,0.08
LinearRegression,1.4599354748774478,0.007243784614469472,0.0
TransformedTargetRegressor,1.4599354748774478,0.007243784614469472,0.0
Lars,1.4599354748774476,0.007243784614469473,0.0
LassoLarsIC,1.4603535339383475,0.007243784614469473,0.01
ElasticNetCV,1.461152298211177,0.007244001080185487,0.09
BayesianRidge,1.4602865315944844,0.007244480535020189,0.0
RidgeCV,1.4600317995415935,0.00724657628511799,0.0
Ridge,1.4610638267936267,0.0072904588611424825,0.0
HuberRegressor,1.4670229207771561,0.007315821605638295,0.06
OrthogonalMatchingPursuitCV,1.487866650836784,0.007394555215642376,0.01
LinearSVR,1.507162225902164,0.0076181041182080385,0.12
MLPRegressor,1.160978927572049,0.008390664565477268,0.89
RANSACRegressor,3.114631775676183,0.009221782889290656,0.1
KernelRidge,1.497872598582425,0.010302453694576498,0.32
SGDRegressor,1.485874895430845,0.012067197555048736,0.01
OrthogonalMatchingPursuit,1.5971715776919921,0.015043635072608471,0.0
TweedieRegressor,1.698802547429702,0.017514830398193102,0.0
PoissonRegressor,1.6731612759451766,0.018218677335979965,0.0
DummyRegressor,1.7227185089605002,0.018236071582735096,0.0
Lasso,1.7227185089605002,0.018236071582735096,0.0
ElasticNet,1.7227185089605002,0.018236071582735096,0.0
LassoLars,1.7227185089605002,0.018236071582735096,0.0
QuantileRegressor,1.804456896139931,0.01876635564461194,36.38
SVR,1.0805338012166448,0.018873273044229814,0.25
GaussianProcessRegressor,5.174114103546902,0.028611020293195965,0.66
PassiveAggressiveRegressor,2.9659429787727953,0.02905724954384009,0.01
